Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,price_m2,x,y
1100000,786,94,3,2,1,1,0,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.592874,-46.685373,11702.127659574468,328026.9671769817,7389834.263550186
1155805,0,82,2,3,2,2,0,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.596742,-46.674286,14095.182926829268,329163.5013717493,7389419.200973552
780000,0,85,3,2,1,1,0,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.596107,-46.675538,9176.470588235294,329034.9046911389,7389488.025600545
1485000,1058,127,3,3,1,2,1,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.600103,-46.675411,11692.913385826772,329053.04736469244,7389045.658157028
2400000,1600,138,3,5,3,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.594329,-46.688316,17391.304347826088,327728.50915664696,7389669.595157549
1950000,500,136,3,5,3,3,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.598966,-46.688512,14338.235294117647,327714.5653305177,7389155.852990502
807000,1488,105,3,3,1,1,1,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.595104,-46.676923,7685.714285714285,328892.2556846669,7389597.442635291
2650000,0,206,4,1,4,3,0,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.600556,-46.674643,12864.077669902912,329132.01104601,7388996.410287401
1162756,0,95,3,3,1,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.604074,-46.675494,12239.536842105263,329049.7272283385,7388605.8080569785
1600000,0,112,3,3,1,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.604197,-46.678332,14285.714285714286,328760.2699322036,7388588.7918874845
775000,937,98,3,2,1,1,0,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.602791,-46.675565,7908.163265306122,329040.8175374999,7388747.803401805
8000000,0,278,4,5,3,5,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.596469,-46.680587,28776.978417266186,328520.09509476984,7389441.894825831
350000,972,33,1,2,1,1,1,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.592855,-46.687697,10606.060606060606,327789.75784516626,7389833.572501857
8039200,0,278,4,7,4,4,1,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.596469,-46.680587,28917.98561151079,328520.09509476984,7389441.894825831
590000,500,51,1,2,1,1,0,1,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.596689,-46.67789,11568.627450980392,328795.62498595775,7389420.76195772
590000,500,51,1,2,1,1,0,1,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.596689,-46.67789,11568.627450980392,328795.62498595775,7389420.76195772
1360000,0,115,3,4,3,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.598468,-46.679859,11826.08695652174,328596.9905783824,7389221.39655895
1780000,2500,164,4,4,3,3,1,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.598769,-46.679415,10853.658536585366,328642.6938725142,7389188.595525676
1106996,0,48,1,2,1,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.596525,-46.679154,23062.416666666668,328666.4137128736,7389437.410230699
1053000,1729,60,2,2,1,1,0,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.593963,-46.688757,17550.0,327683.023418012,7389709.595310676
1250000,729,81,2,3,2,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.599474,-46.675614,15432.098765432098,329031.51488360384,7389115.071364304
610000,761,53,1,2,1,1,1,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.5989,-46.681596,11509.433962264151,328420.28468576074,7389171.474235259
1297500,950,173,4,4,3,3,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.5598941,-46.6042432,7500.0,336265.94250323897,7393581.537021544
2180000,1500,221,4,4,3,4,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.5509876,-46.5909082,9864.253393665158,337616.24770983576,7394582.989469113
940000,0,112,3,2,1,2,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.561876297,-46.6012077332,8392.857142857143,336578.25969342043,7393365.499481106
900000,800,120,3,3,2,3,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.5655354,-46.6018887,7500.0,336513.2767980278,7392959.523345847
880000,650,102,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5485189,-46.5945998,8627.450980392157,337236.3393918292,7394852.178421747
970000,701,126,3,4,3,2,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.5491967,-46.595386,7698.412698412699,337156.9115543198,7394776.228053822
699000,850,89,3,2,1,2,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.5618983,-46.5780838,7853.932584269663,338938.76286419143,7393389.248828804
635000,920,98,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5568517,-46.6043505,6479.591836734694,336251.21763612016,7393918.32165288
915000,756,30,3,1,0,2,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.5582057,-46.595508,30500.0,337155.561023355,7393778.460344765
550000,780,80,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5568517,-46.6043505,6875.0,336251.21763612016,7393918.32165288
365000,900,51,1,1,0,1,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.5578196,-46.6068783,7156.862745098039,335994.37193520006,7393808.248081518
